rowversion,vin,rego,Purchase Invoice Date,Purchase Receipt Date,Creation Date,modelName,colour,KeyNo,Dealer Request Code,Incadea Dealer Name,Incadea Dealer No,Incadea City,make,Updated by Cron Job AT
3390723661,TMAJC812SPJ216685,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Teal, ,HANZ,Hammond Motors,13039,Kaitaia,HYUNDAI,48:17.7
3390723661,TMAJC812SPJ216685,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Teal, ,HANZ,Bayswater Vehicles Gisborne,13225,Napier,HYUNDAI,48:17.7
3390723661,TMAJC812SPJ216685,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Teal, ,HANZ,Mayfield Motorworld Limited,23314,Blenheim,HYUNDAI,48:17.7
3390723661,TMAJC812SPJ216685,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Teal, ,HANZ,Orewa Car Services 1990 Ltd,23315,Orewa,HYUNDAI,48:17.7
3390723661,TMAJC812SPJ216685,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Teal, ,HANZ,P & B Mechanical Limited,23475,Hamilton,HYUNDAI,48:17.7
3390723661,TMAJC812SPJ216685,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Teal, ,HANZ,Orewa Car Services 1990 Ltd,33315,Orewa,HYUNDAI,48:17.7
3390723661,TMAJC812SPJ216685,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Teal, ,HANZ,Vicky Tunai,40059,,HYUNDAI,48:17.7
3390723661,TMAJC812SPJ216685,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Teal, ,HANZ,Jaime Ramsey,40069,,HYUNDAI,48:17.7
3390723661,TMAJC812SPJ216685,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Teal, ,HANZ,Isuzu Utes NZ Ltd,84006,AUCKLAND,HYUNDAI,48:17.7
3390723662,TMAJC812SPJ216689,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Teal, ,HANZ,Hammond Motors,13039,Kaitaia,HYUNDAI,48:17.7
3390723662,TMAJC812SPJ216689,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Teal, ,HANZ,Bayswater Vehicles Gisborne,13225,Napier,HYUNDAI,48:17.7
3390723662,TMAJC812SPJ216689,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Teal, ,HANZ,Mayfield Motorworld Limited,23314,Blenheim,HYUNDAI,48:17.7
3390723662,TMAJC812SPJ216689,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Teal, ,HANZ,Orewa Car Services 1990 Ltd,23315,Orewa,HYUNDAI,48:17.7
3390723662,TMAJC812SPJ216689,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Teal, ,HANZ,P & B Mechanical Limited,23475,Hamilton,HYUNDAI,48:17.7
3390723662,TMAJC812SPJ216689,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Teal, ,HANZ,Orewa Car Services 1990 Ltd,33315,Orewa,HYUNDAI,48:17.7
3390723662,TMAJC812SPJ216689,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Teal, ,HANZ,Vicky Tunai,40059,,HYUNDAI,48:17.7
3390723662,TMAJC812SPJ216689,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Teal, ,HANZ,Jaime Ramsey,40069,,HYUNDAI,48:17.7
3390723662,TMAJC812SPJ216689,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Teal, ,HANZ,Isuzu Utes NZ Ltd,84006,AUCKLAND,HYUNDAI,48:17.7
3390723663,TMAJC812SPJ216774,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Hammond Motors,13039,Kaitaia,HYUNDAI,48:17.7
3390723663,TMAJC812SPJ216774,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Bayswater Vehicles Gisborne,13225,Napier,HYUNDAI,48:17.7
3390723663,TMAJC812SPJ216774,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Mayfield Motorworld Limited,23314,Blenheim,HYUNDAI,48:17.7
3390723663,TMAJC812SPJ216774,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Orewa Car Services 1990 Ltd,23315,Orewa,HYUNDAI,48:17.7
3390723663,TMAJC812SPJ216774,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,P & B Mechanical Limited,23475,Hamilton,HYUNDAI,48:17.7
3390723663,TMAJC812SPJ216774,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Orewa Car Services 1990 Ltd,33315,Orewa,HYUNDAI,48:17.7
3390723663,TMAJC812SPJ216774,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Vicky Tunai,40059,,HYUNDAI,48:17.7
3390723663,TMAJC812SPJ216774,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Jaime Ramsey,40069,,HYUNDAI,48:17.7
3390723663,TMAJC812SPJ216774,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Isuzu Utes NZ Ltd,84006,AUCKLAND,HYUNDAI,48:17.7
3390723664,TMAJC812SPJ216775,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Hammond Motors,13039,Kaitaia,HYUNDAI,48:17.7
3390723664,TMAJC812SPJ216775,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Bayswater Vehicles Gisborne,13225,Napier,HYUNDAI,48:17.7
3390723664,TMAJC812SPJ216775,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Mayfield Motorworld Limited,23314,Blenheim,HYUNDAI,48:17.7
3390723664,TMAJC812SPJ216775,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Orewa Car Services 1990 Ltd,23315,Orewa,HYUNDAI,48:17.7
3390723664,TMAJC812SPJ216775,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,P & B Mechanical Limited,23475,Hamilton,HYUNDAI,48:17.7
3390723664,TMAJC812SPJ216775,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Orewa Car Services 1990 Ltd,33315,Orewa,HYUNDAI,48:17.7
3390723664,TMAJC812SPJ216775,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Vicky Tunai,40059,,HYUNDAI,48:17.7
3390723664,TMAJC812SPJ216775,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Jaime Ramsey,40069,,HYUNDAI,48:17.7
3390723664,TMAJC812SPJ216775,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Isuzu Utes NZ Ltd,84006,AUCKLAND,HYUNDAI,48:17.7
3390723665,TMAJC812SPJ216776,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Hammond Motors,13039,Kaitaia,HYUNDAI,48:17.7
3390723665,TMAJC812SPJ216776,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Bayswater Vehicles Gisborne,13225,Napier,HYUNDAI,48:17.7
3390723665,TMAJC812SPJ216776,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Mayfield Motorworld Limited,23314,Blenheim,HYUNDAI,48:17.7
3390723665,TMAJC812SPJ216776,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Orewa Car Services 1990 Ltd,23315,Orewa,HYUNDAI,48:17.7
3390723665,TMAJC812SPJ216776,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,P & B Mechanical Limited,23475,Hamilton,HYUNDAI,48:17.7
3390723665,TMAJC812SPJ216776,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Orewa Car Services 1990 Ltd,33315,Orewa,HYUNDAI,48:17.7
3390723665,TMAJC812SPJ216776,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Vicky Tunai,40059,,HYUNDAI,48:17.7
3390723665,TMAJC812SPJ216776,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Jaime Ramsey,40069,,HYUNDAI,48:17.7
3390723665,TMAJC812SPJ216776,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Isuzu Utes NZ Ltd,84006,AUCKLAND,HYUNDAI,48:17.7
3390723666,TMAJC812SPJ216778,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Hammond Motors,13039,Kaitaia,HYUNDAI,48:17.7
3390723666,TMAJC812SPJ216778,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Bayswater Vehicles Gisborne,13225,Napier,HYUNDAI,48:17.7
3390723666,TMAJC812SPJ216778,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Mayfield Motorworld Limited,23314,Blenheim,HYUNDAI,48:17.7
3390723666,TMAJC812SPJ216778,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Orewa Car Services 1990 Ltd,23315,Orewa,HYUNDAI,48:17.7
3390723666,TMAJC812SPJ216778,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,P & B Mechanical Limited,23475,Hamilton,HYUNDAI,48:17.7
3390723666,TMAJC812SPJ216778,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Orewa Car Services 1990 Ltd,33315,Orewa,HYUNDAI,48:17.7
3390723666,TMAJC812SPJ216778,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Vicky Tunai,40059,,HYUNDAI,48:17.7
3390723666,TMAJC812SPJ216778,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Jaime Ramsey,40069,,HYUNDAI,48:17.7
3390723666,TMAJC812SPJ216778,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Isuzu Utes NZ Ltd,84006,AUCKLAND,HYUNDAI,48:17.7
3390723667,TMAJC812SPJ216782,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Hammond Motors,13039,Kaitaia,HYUNDAI,48:17.7
3390723667,TMAJC812SPJ216782,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Bayswater Vehicles Gisborne,13225,Napier,HYUNDAI,48:17.7
3390723667,TMAJC812SPJ216782,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Mayfield Motorworld Limited,23314,Blenheim,HYUNDAI,48:17.7
3390723667,TMAJC812SPJ216782,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Orewa Car Services 1990 Ltd,23315,Orewa,HYUNDAI,48:17.7
3390723667,TMAJC812SPJ216782,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,P & B Mechanical Limited,23475,Hamilton,HYUNDAI,48:17.7
3390723667,TMAJC812SPJ216782,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Orewa Car Services 1990 Ltd,33315,Orewa,HYUNDAI,48:17.7
3390723667,TMAJC812SPJ216782,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Vicky Tunai,40059,,HYUNDAI,48:17.7
3390723667,TMAJC812SPJ216782,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Jaime Ramsey,40069,,HYUNDAI,48:17.7
3390723667,TMAJC812SPJ216782,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Isuzu Utes NZ Ltd,84006,AUCKLAND,HYUNDAI,48:17.7
3390723668,TMAJC812SPJ216783,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Hammond Motors,13039,Kaitaia,HYUNDAI,48:17.7
3390723668,TMAJC812SPJ216783,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Bayswater Vehicles Gisborne,13225,Napier,HYUNDAI,48:17.7
3390723668,TMAJC812SPJ216783,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Mayfield Motorworld Limited,23314,Blenheim,HYUNDAI,48:17.7
3390723668,TMAJC812SPJ216783,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Orewa Car Services 1990 Ltd,23315,Orewa,HYUNDAI,48:17.7
3390723668,TMAJC812SPJ216783,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,P & B Mechanical Limited,23475,Hamilton,HYUNDAI,48:17.7
3390723668,TMAJC812SPJ216783,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Orewa Car Services 1990 Ltd,33315,Orewa,HYUNDAI,48:17.7
3390723668,TMAJC812SPJ216783,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Vicky Tunai,40059,,HYUNDAI,48:17.7
3390723668,TMAJC812SPJ216783,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Jaime Ramsey,40069,,HYUNDAI,48:17.7
3390723668,TMAJC812SPJ216783,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Isuzu Utes NZ Ltd,84006,AUCKLAND,HYUNDAI,48:17.7
3390723669,TMAJC812SPJ216924,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Shimmering Silver, ,HANZ,Hammond Motors,13039,Kaitaia,HYUNDAI,48:17.7
3390723669,TMAJC812SPJ216924,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Shimmering Silver, ,HANZ,Bayswater Vehicles Gisborne,13225,Napier,HYUNDAI,48:17.7
3390723669,TMAJC812SPJ216924,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Shimmering Silver, ,HANZ,Mayfield Motorworld Limited,23314,Blenheim,HYUNDAI,48:17.7
3390723669,TMAJC812SPJ216924,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Shimmering Silver, ,HANZ,Orewa Car Services 1990 Ltd,23315,Orewa,HYUNDAI,48:17.7
3390723669,TMAJC812SPJ216924,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Shimmering Silver, ,HANZ,P & B Mechanical Limited,23475,Hamilton,HYUNDAI,48:17.7
3390723669,TMAJC812SPJ216924,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Shimmering Silver, ,HANZ,Orewa Car Services 1990 Ltd,33315,Orewa,HYUNDAI,48:17.7
3390723669,TMAJC812SPJ216924,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Shimmering Silver, ,HANZ,Vicky Tunai,40059,,HYUNDAI,48:17.7
3390723669,TMAJC812SPJ216924,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Shimmering Silver, ,HANZ,Jaime Ramsey,40069,,HYUNDAI,48:17.7
3390723669,TMAJC812SPJ216924,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Shimmering Silver, ,HANZ,Isuzu Utes NZ Ltd,84006,AUCKLAND,HYUNDAI,48:17.7
3390723670,TMAJC812SPJ217589,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Hammond Motors,13039,Kaitaia,HYUNDAI,48:17.7
3390723670,TMAJC812SPJ217589,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Bayswater Vehicles Gisborne,13225,Napier,HYUNDAI,48:17.7
3390723670,TMAJC812SPJ217589,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Mayfield Motorworld Limited,23314,Blenheim,HYUNDAI,48:17.7
3390723670,TMAJC812SPJ217589,,00:00.0,00:00.0,00:00.0,Tucson NX4e PHEV Elite AWD,Atlas White, ,HANZ,Orewa Car Services 1990 Ltd,23315,Orewa,HYUNDAI,48:17.7
